Iter;Problem;QPU;Qubits;Searched;Dec;Bin;Expected;Obtained;Error
7;Grover_2num_5Q;ibm_brisbane;5;2;4;'00100;0;188;188
7;Grover_2num_5Q;ibm_brisbane;5;2;5;'00101;0;188;188
7;Grover_2num_5Q;ibm_brisbane;5;2;6;'00110;0;174;174
7;Grover_2num_5Q;ibm_brisbane;5;2;7;'00111;0;146;146
7;Grover_2num_5Q;ibm_brisbane;5;2;8;'01000;0;217;217
7;Grover_2num_5Q;ibm_brisbane;5;2;9;'01001;0;193;193
7;Grover_2num_5Q;ibm_brisbane;5;2;10;'01010;0;220;220
7;Grover_2num_5Q;ibm_brisbane;5;2;11;'01011;0;184;184
7;Grover_2num_5Q;ibm_brisbane;5;2;12;'01100;0;202;202
7;Grover_2num_5Q;ibm_brisbane;5;2;13;'01101;0;184;184
7;Grover_2num_5Q;ibm_brisbane;5;2;14;'01110;0;210;210
7;Grover_2num_5Q;ibm_brisbane;5;2;15;'01111;0;177;177
7;Grover_2num_5Q;ibm_brisbane;5;2;16;'10000;0;223;223
7;Grover_2num_5Q;ibm_brisbane;5;2;17;'10001;0;210;210
7;Grover_2num_5Q;ibm_brisbane;5;2;18;'10010;0;175;175
7;Grover_2num_5Q;ibm_brisbane;5;2;19;'10011;0;167;167
7;Grover_2num_5Q;ibm_brisbane;5;2;20;'10100;0;203;203
7;Grover_2num_5Q;ibm_brisbane;5;2;21;'10101;0;156;156
7;Grover_2num_5Q;ibm_brisbane;5;2;22;'10110;0;175;175
7;Grover_2num_5Q;ibm_brisbane;5;2;23;'10111;0;166;166
7;Grover_2num_5Q;ibm_brisbane;5;2;24;'11000;0;200;200
7;Grover_2num_5Q;ibm_brisbane;5;2;25;'11001;0;161;161
7;Grover_2num_5Q;ibm_brisbane;5;2;26;'11010;0;165;165
7;Grover_2num_5Q;ibm_brisbane;5;2;27;'11011;0;188;188
7;Grover_2num_5Q;ibm_brisbane;5;2;28;'11100;0;199;199
7;Grover_2num_5Q;ibm_brisbane;5;2;29;'11101;0;162;162
7;Grover_2num_5Q;ibm_brisbane;5;2;30;'11110;0;202;202
7;Grover_2num_5Q;ibm_brisbane;5;2;31;'11111;2990;207;2783
8;Grover_2num_5Q;ibm_brisbane;5;2;0;'00000;2990;186;2804
8;Grover_2num_5Q;ibm_brisbane;5;2;1;'00001;0;153;153
8;Grover_2num_5Q;ibm_brisbane;5;2;2;'00010;0;196;196
8;Grover_2num_5Q;ibm_brisbane;5;2;3;'00011;0;182;182
8;Grover_2num_5Q;ibm_brisbane;5;2;4;'00100;0;206;206
8;Grover_2num_5Q;ibm_brisbane;5;2;5;'00101;0;175;175
8;Grover_2num_5Q;ibm_brisbane;5;2;6;'00110;0;195;195
8;Grover_2num_5Q;ibm_brisbane;5;2;7;'00111;0;162;162
8;Grover_2num_5Q;ibm_brisbane;5;2;8;'01000;0;201;201
8;Grover_2num_5Q;ibm_brisbane;5;2;9;'01001;0;182;182
8;Grover_2num_5Q;ibm_brisbane;5;2;10;'01010;0;229;229
8;Grover_2num_5Q;ibm_brisbane;5;2;11;'01011;0;188;188
8;Grover_2num_5Q;ibm_brisbane;5;2;12;'01100;0;222;222
8;Grover_2num_5Q;ibm_brisbane;5;2;13;'01101;0;194;194
8;Grover_2num_5Q;ibm_brisbane;5;2;14;'01110;0;199;199
8;Grover_2num_5Q;ibm_brisbane;5;2;15;'01111;0;176;176
8;Grover_2num_5Q;ibm_brisbane;5;2;16;'10000;0;191;191
8;Grover_2num_5Q;ibm_brisbane;5;2;17;'10001;0;175;175
8;Grover_2num_5Q;ibm_brisbane;5;2;18;'10010;0;155;155
8;Grover_2num_5Q;ibm_brisbane;5;2;19;'10011;0;172;172
8;Grover_2num_5Q;ibm_brisbane;5;2;20;'10100;0;185;185
8;Grover_2num_5Q;ibm_brisbane;5;2;21;'10101;0;191;191
8;Grover_2num_5Q;ibm_brisbane;5;2;22;'10110;0;183;183
8;Grover_2num_5Q;ibm_brisbane;5;2;23;'10111;0;159;159
8;Grover_2num_5Q;ibm_brisbane;5;2;24;'11000;0;196;196
8;Grover_2num_5Q;ibm_brisbane;5;2;25;'11001;0;185;185
8;Grover_2num_5Q;ibm_brisbane;5;2;26;'11010;0;202;202
8;Grover_2num_5Q;ibm_brisbane;5;2;27;'11011;0;172;172
8;Grover_2num_5Q;ibm_brisbane;5;2;28;'11100;0;209;209
8;Grover_2num_5Q;ibm_brisbane;5;2;29;'11101;0;177;177
8;Grover_2num_5Q;ibm_brisbane;5;2;30;'11110;0;186;186
8;Grover_2num_5Q;ibm_brisbane;5;2;31;'11111;2990;196;2794
9;Grover_2num_5Q;ibm_brisbane;5;2;0;'00000;2990;208;2782
9;Grover_2num_5Q;ibm_brisbane;5;2;1;'00001;0;173;173
9;Grover_2num_5Q;ibm_brisbane;5;2;2;'00010;0;196;196
9;Grover_2num_5Q;ibm_brisbane;5;2;3;'00011;0;169;169
9;Grover_2num_5Q;ibm_brisbane;5;2;4;'00100;0;207;207
9;Grover_2num_5Q;ibm_brisbane;5;2;5;'00101;0;207;207
9;Grover_2num_5Q;ibm_brisbane;5;2;6;'00110;0;224;224
9;Grover_2num_5Q;ibm_brisbane;5;2;7;'00111;0;181;181
9;Grover_2num_5Q;ibm_brisbane;5;2;8;'01000;0;180;180
9;Grover_2num_5Q;ibm_brisbane;5;2;9;'01001;0;177;177
9;Grover_2num_5Q;ibm_brisbane;5;2;10;'01010;0;213;213
9;Grover_2num_5Q;ibm_brisbane;5;2;11;'01011;0;180;180
9;Grover_2num_5Q;ibm_brisbane;5;2;12;'01100;0;212;212
9;Grover_2num_5Q;ibm_brisbane;5;2;13;'01101;0;212;212
9;Grover_2num_5Q;ibm_brisbane;5;2;14;'01110;0;191;191
9;Grover_2num_5Q;ibm_brisbane;5;2;15;'01111;0;174;174
9;Grover_2num_5Q;ibm_brisbane;5;2;16;'10000;0;184;184
9;Grover_2num_5Q;ibm_brisbane;5;2;17;'10001;0;167;167
9;Grover_2num_5Q;ibm_brisbane;5;2;18;'10010;0;172;172
9;Grover_2num_5Q;ibm_brisbane;5;2;19;'10011;0;182;182
9;Grover_2num_5Q;ibm_brisbane;5;2;20;'10100;0;177;177
